Violation ID,Timestamp,Location,Violation Type,Vehicle Type,Severity
VIO-001015,2025-06-18 15:33:52,"50.5453,-80.7520",No Signal,Truck,3
VIO-001016,2025-02-16 10:46:53,,Speeding,Van,3
VIO-001017,2025-07-31 06:48:45,"3.8517,43.8532",No Signal,Truck,2
VIO-001018,2025-09-18 00:54:53,"-88.5868,-53.1708",Illegal Parking,Sedan,1
VIO-001019,2025-11-10 16:45:56,"-68.8169,106.8433",Illegal Parking,Bus,4
VIO-001020,05/14/25 16:33,"-35.0035,76.5847",Illegal Parking,Truck,3
VIO-001021,2025-01-16 07:37:28,"-85.4526,113.8524",No Signal,Sedan,5
VIO-001022,2025-09-04 02:38:13,"-48.9647,137.4360",Illegal Parking,Bus,2
VIO-001023,2025-04-11 14:02:14,"-79.2245,67.8190",Illegal Parking,Bus,4
VIO-001024,2024-12-22 06:20:34,"74.5416,-169.7834",No Signal,Sedan,2
VIO-001025,2025-09-16 02:16:30,"-57.6978,-138.9808",Illegal Turn,Truck,
VIO-001026,2025-08-03 15:31:13,"-3.0927,-152.4388",Red Light,Sedan,3
VIO-001027,2025-08-08 14:13:34,,No Signal,Truck,1
VIO-001028,2025-06-18 07:10:19,"13.6141,-111.1900",Red Light,Motorcycle,1
VIO-001029,2025-07-02 20:07:45,"-14.9462,-132.7601",Speeding,Van,2
VIO-001030,2026-Oct-30 11:00:00,"54.8015,32.6637",No Signal,Motorcycle,2
VIO-001031,2025-05-10 02:08:05,"82.3830,174.1107",No Signal,Bus,1
VIO-001032,2025-01-16 15:09:21,"-87.7739,148.0110",Illegal Parking,Truck,4
VIO-001033,2024-11-20 12:06:40,"70.0271,41.1212",Red Light,Truck,4
VIO-001034,2025-07-27 22:33:44,"-3.3871,-0.2346",Speeding,Truck,3
VIO-001035,2025-01-14 17:46:13,"-5.5659,173.6762",Illegal Parking,Bus,5
VIO-001036,2025-10-31 04:37:47,,Illegal Turn,Van,1
VIO-001037,2025-07-06 23:15:49,"-13.1736,96.6729",Speeding,Motorcycle,
VIO-001038,2025-01-29 19:00:40,"24.4274,167.9108",Illegal Parking,Van,2
VIO-001039,2025-10-15 10:56:12,"-82.8603,47.0459",No Signal,Bus,3
VIO-001040,N/A,"-71.2905,-151.0074",Illegal Parking,Sedan,5
VIO-001041,2025-06-19 19:51:45,"-6.2242,12.7100",Speeding,Motorcycle,1
VIO-001042,2025-09-23 02:28:49,"-77.7638,157.6282",No Signal,Bus,4
VIO-001043,2025-08-09 23:46:32,"44.4479,-39.8563",Speeding,Motorcycle,2
VIO-001044,2025-04-19 13:42:52,"-20.1965,77.4910",No Signal,Van,
VIO-001045,2024-11-18 18:42:48,"26.0282,27.3989",Speeding,Motorcycle,1
VIO-001046,2025-04-06 16:49:31,,No Signal,Motorcycle,5
VIO-001047,2025-10-20 11:57:40,"-33.3501,27.5680",Speeding,Motorcycle,4
VIO-001048,2025-03-04 02:59:13,,Speeding,Truck,1
VIO-001049,2025-03-29 21:15:26,"-87.1470,97.4450",No Signal,Motorcycle,4
VIO-001050,2025-06-29 10:50:08,"21.2391,122.3288",Speeding,Bus,5
VIO-001051,2025-10-10 14:22:01,"-11.9070,84.8167",Red Light,Sedan,4
VIO-001052,2025-07-14 00:54:49,"-13.6284,168.3746",No Signal,Bus,5
VIO-001053,2025-05-04 09:51:53,"75.2912,152.6130",Illegal Parking,Bus,1
VIO-001054,2025_07_20 09:28:28,"-67.7929,-19.2655",No Signal,Motorcycle,2
VIO-001055,2025-11-07 17:12:29,"-11.0181,-172.9634",Red Light,Motorcycle,5
VIO-001056,2025-05-12 21:16:56,"-34.6945,34.5097",Red Light,Truck,
VIO-001057,2024-12-16 11:11:56,"70.2538,-50.5430",Red Light,Bus,2
VIO-001058,2024-12-18 10:34:55,"-33.2309,-27.1422",Red Light,Motorcycle,5
VIO-001059,2025-07-12 05:46:33,"-41.8869,14.9975",Speeding,Motorcycle,2
VIO-001060,2025-05-09 14:32:53,"63.5336,12.9960",No Signal,Truck,2
VIO-001061,2025-01-16 14:03:07,"-39.2286,-141.7002",Illegal Turn,Bus,
VIO-001062,2025_08_15 14:35:50,"40.2324,-136.2035",Illegal Turn,Sedan,5
VIO-001063,03/17/25 07:47,"-60.3379,-91.0989",Speeding,Bus,3
VIO-001064,2025-08-19 13:40:22,"-37.5123,125.4499",No Signal,Van,
VIO-001065,2025-07-19 04:01:36,"-69.9828,78.6204",Illegal Turn,Sedan,4
VIO-001066,2025-05-24 20:32:02,"19.7514,-151.9664",No Signal,Bus,1
VIO-001067,2025-03-31 03:00:32,"-21.0389,113.7094",No Signal,Truck,5
VIO-001068,2025-04-01 13:00:28,"-52.8769,93.6680",No Signal,Motorcycle,4
VIO-001069,2025-09-17 18:57:23,"66.0464,102.0228",Speeding,Bus,2
VIO-001070,2024-12-08 05:17:31,"-70.9047,132.0347",Speeding,Motorcycle,1
VIO-001071,2025-02-10 15:15:36,"-79.0425,75.2480",Illegal Parking,Motorcycle,3
VIO-001072,2025-03-07 09:32:37,"-86.5093,-51.6501",Red Light,Motorcycle,4
VIO-001073,2025-09-17 06:07:09,"-13.3349,19.6348",Speeding,Truck,
VIO-001074,2025-07-30 07:14:04,"-71.0392,176.1120",no signal,Motorcycle,2
VIO-001075,2025-08-12 02:49:59,"-89.4029,0.4031",Illegal Parking,Bus,5
VIO-001076,2025-09-24 09:39:40,"29.1058,97.1092",Speeding,Bus,1
VIO-001077,2025-07-09 13:32:02,"-1.6505,-72.5297",No Signal,Truck,2
VIO-001078,04/12/25 09:36,"44.0421,172.4751",Speeding,Bus,1
VIO-001079,2024-12-11 12:10:52,"67.5020,-47.8685",Red Light,Motorcycle,5
VIO-001080,2025-06-22 14:57:49,"-71.6402,22.4183",Illegal Parking,Van,1
VIO-001081,2025-01-13 22:13:57,"-31.7427,-71.3106",Illegal Turn,Van,2
VIO-001082,2024-12-23 02:25:22,"33.9816,4.4701",Red Light,Van,1
VIO-001083,2025-08-03 10:08:25,"-60.5918,127.2888",Illegal Turn,Bus,2
VIO-001084,2025-09-22 13:07:40,"28.9331,73.0227",Illegal Parking,Van,1
VIO-001085,2025-02-05 13:31:10,"-37.0704,-128.1886",No Signal,Motorcycle,
VIO-001086,2024-12-15 02:16:15,"18.0106,154.6219",Red Light,Bus,LOW
VIO-001087,2025_06_28 18:44:04,"40.0381,9.6189",Speeding,Sedan,4
VIO-001088,2025-06-04 08:00:20,"-0.7917,45.8385",Speeding,Van,5
VIO-001089,2025_04_26 12:14:33,"26.0964,44.9208",red light,Motorcycle,3
VIO-001090,2025_10_22 18:26:22,"-23.6530,-89.4837",Red Light,Sedan,4
VIO-001091,2024_11_25 12:29:09,"-51.9383,-168.2404",Illegal Parking,Van,5
VIO-001092,2025-08-28 22:58:35,"11.0889,125.2929",Speeding,Motorcycle,1
VIO-001093,2025-06-24 10:01:48,"2.8194,-142.8444",No Signal,Motorcycle,3
VIO-001094,2025-06-30 19:28:39,"48.0688,74.2231",Red Light,Bus,5
VIO-001095,2025-04-05 12:18:42,"22.0201,-163.4509",Speeding,Sedan,2
VIO-001096,2025-05-27 22:53:05,"82.9136,-53.1731",Red Light,Van,1
VIO-001097,2025-08-02 04:56:54,"24.0546,15.6931",No Signal,Motorcycle,4
VIO-001098,2025-07-26 18:30:48,"-63.9307,-86.4880",Speeding,Bus,LOW
VIO-001099,2025-11-08 19:42:43,"31.3373,95.7972",Illegal Parking,Bus,4
VIO-001100,2025-07-12 07:08:59,"6.2301,-164.1881",No Signal,Truck,5
VIO-001101,2024-11-22 17:11:32,"-15.4653,-37.9210",Illegal Parking,Sedan,3
VIO-001102,2025-09-29 23:31:02,"-42.4940,26.9901",Speeding,Motorcycle,2
VIO-001103,2025-06-25 19:57:26,"37.0567,-155.0624",red light,Truck,5
VIO-001104,2025-09-25 14:21:28,"-75.9855,144.6928",Red Light,Motorcycle,1
VIO-001105,2026-Oct-30 11:00:00,"25.2810,95.5500",Illegal Turn,Van,2
VIO-001106,2025-06-09 05:11:51,"48.0090,110.7736",Red Light,Van,
VIO-001107,2025-05-08 07:47:37,"-78.2689,64.7091",Illegal Turn,Motorcycle,1
VIO-001108,2024-11-13 21:23:54,"81.7054,53.5676",No Signal,Sedan,2
VIO-001109,2025-05-06 17:18:01,"80.6109,12.9485",No Signal,Truck,
VIO-001110,2025-11-02 07:56:30,"-9.1448,7.5004",Illegal Turn,Motorcycle,3
VIO-001111,2025-03-26 11:30:12,"-64.0312,-147.4776",No Signal,Motorcycle,
VIO-001112,04/18/25 19:28,"27.2484,112.3352",Illegal Turn,Van,2
VIO-001113,2025_04_21 21:03:18,"76.1152,-92.1421",Illegal Parking,Truck,4
VIO-001114,2024-12-02 06:21:33,"64.4920,50.8860",Red Light,Bus,5
VIO-001115,2025-02-09 18:51:18,"-27.2121,38.4503",Speeding,Truck,4
VIO-001116,2025-04-09 11:53:42,"-2.9438,-113.7528",no signal,Bus,1
VIO-001117,2025-09-19 06:19:18,"72.8615,-123.8569",Illegal Parking,Van,5
VIO-001118,2025-01-02 07:20:24,"77.4488,41.2885",Red Light,Sedan,1
VIO-001119,2025-03-26 05:41:26,"-22.1314,9.5152",Red Light,Van,3
VIO-001120,2025-02-26 16:10:50,"-63.2547,144.2456",Red Light,Motorcycle,4
VIO-001121,2025-03-14 13:21:04,"46.8948,162.0386",Speeding,Bus,1
VIO-001122,2025-07-28 10:43:17,"64.5413,20.6162",Red Light,Motorcycle,4
VIO-001123,2025-03-05 12:19:14,"67.6389,164.6218",Illegal Turn,Truck,2
VIO-001124,2025-03-13 01:37:31,"12.8793,-105.7746",Red Light,Sedan,LOW
VIO-001125,2024/18/12 18:03:16,"-35.8070,72.6813",Red Light,Truck,HIGH
VIO-001126,2025-03-07 03:20:22,,Illegal Turn,Van,1
VIO-001127,2025-02-12 02:43:20,"-1.2773,-166.5724",No Signal,Sedan,3
VIO-001128,2025-04-02 16:42:42,"-50.6637,158.5256",Speeding,Bus,1
VIO-001129,2025-04-24 17:19:25,"-45.9304,76.5127",Illegal Turn,Sedan,2
VIO-001130,2025-03-27 19:06:10,"36.8959,131.5792",speeding,Bus,2
VIO-001131,2025-01-04 20:58:46,"58.8242,-172.6094",Illegal Parking,Truck,3
VIO-001132,2025-11-04 11:34:59,"-77.8967,-136.7144",Speeding,Van,5
VIO-001133,2025-08-05 20:18:46,"-0.2717,137.9338",Speeding,Bus,3
VIO-001134,N/A,"-37.3391,-33.2065",Red Light,Sedan,4
VIO-001135,2025-03-08 13:58:46,"-74.5783,59.7405",Red Light,Bus,4
VIO-001136,2024-11-16 18:18:02,"17.9108,103.0222",Illegal Parking,Motorcycle,2
VIO-001137,2025-07-30 02:21:28,"-44.2103,-134.8195",Illegal Turn,Truck,1
VIO-001138,2025-03-23 00:26:19,"36.5081,113.1458",Illegal Turn,Bus,3
VIO-001139,2025-09-26 01:52:04,"-48.8192,171.1982",Illegal Turn,Truck,5
VIO-001140,2025-01-25 08:18:36,"-38.7065,123.7952",Red Light,Van,
VIO-001141,2025-11-11 15:51:00,,Red Light,Truck,2
VIO-001142,2025-05-03 09:54:41,"-10.1939,-144.0684",Red Light,Motorcycle,2
VIO-001143,2025-02-15 15:43:38,"-29.5209,59.9766",No Signal,Sedan,1
VIO-001144,2025-03-30 16:58:39,,Illegal Parking,Bus,5
VIO-001145,2024-11-19 22:24:44,"-61.3327,67.6244",Illegal Turn,Motorcycle,4
VIO-001146,N/A,"-11.2020,-65.8691",Illegal Parking,Bus,2
VIO-001147,2025_09_10 07:13:48,"62.0587,78.7453",Red Light,Bus,4
VIO-001148,05/21/25 03:47,"-75.4513,-6.0951",No Signal,Bus,1
VIO-001149,2025-09-17 13:52:32,"11.9525,79.1494",Illegal Turn,Sedan,5
VIO-001150,2025-04-23 23:11:53,"13.4432,-55.9181",Illegal Parking,Sedan,2
VIO-001151,2025-03-06 06:38:17,"49.2704,92.9530",Illegal Turn,Truck,4
VIO-001152,2024-12-12 01:32:16,"-75.0858,-127.5312",Illegal Turn,Motorcycle,4
VIO-001153,2025-05-21 21:31:53,"-24.2054,-168.6436",Illegal Turn,Motorcycle,2
VIO-001154,2025-04-14 04:01:01,"12.3168,52.6932",Illegal Parking,Bus,
VIO-001155,2025-06-01 02:07:38,"40.0497,94.9886",Illegal Parking,Motorcycle,1
VIO-001156,2025-04-11 08:23:03,"-86.3235,-12.7623",Speeding,Van,4
VIO-001157,2025-11-10 05:59:33,"13.1710,-35.1497",No Signal,Van,1
VIO-001158,2025-02-11 04:23:58,"-1.2378,-10.5651",Illegal Parking,Bus,4
VIO-001159,2025-03-19 22:45:56,"16.7044,-134.5294",Red Light,Bus,2
VIO-001160,2025-09-11 11:42:44,"-5.3650,-36.9354",Illegal Turn,Bus,2
VIO-001161,2024-12-13 00:10:12,"-4.2252,112.0783",No Signal,Sedan,4
VIO-001162,2025-08-21 05:02:28,"58.0618,-179.6108",Illegal Turn,Bus,5
VIO-001163,2025-06-16 08:09:41,,Red Light,Bus,3
VIO-001164,2025-08-03 19:20:35,"-83.4490,112.5430",Illegal Turn,Sedan,
VIO-001165,2025-05-24 10:44:11,"86.7845,55.0983",Red Light,Motorcycle,2
VIO-001166,2025-02-23 14:54:21,"72.3584,78.7554",Speeding,Truck,3
VIO-001167,2025-08-17 12:03:25,"42.2296,-172.3834",Red Light,Truck,4
VIO-001168,2025-01-10 18:54:23,"82.6496,156.8455",Illegal Turn,Bus,2
VIO-001169,2025-06-13 05:58:34,"33.6384,80.2309",Illegal Turn,Motorcycle,5
VIO-001170,2024-12-31 22:27:35,"20.1370,-51.2613",Illegal Turn,Truck,1
VIO-001171,2025-01-07 23:17:03,"38.4372,2.0963",No Signal,Bus,2
VIO-001172,06/12/25 03:08,"25.0173,-101.8468",Illegal Turn,Motorcycle,2
VIO-001173,2025-02-21 20:50:17,"66.6722,8.2755",Speeding,Bus,4
VIO-001174,2025/01/07 08:37:59,"-24.7440,125.8838",Speeding,Van,
VIO-001175,2024-11-30 22:07:53,"-44.4513,-8.5242",No Signal,Motorcycle,3
VIO-001176,2024-12-07 02:43:16,"-28.6882,-101.3268",Red Light,Motorcycle,3
VIO-001177,2025-01-26 14:41:50,"-55.6217,-40.8983",Speeding,Van,2
VIO-001178,2025-04-09 01:28:07,"-70.3456,23.7321",Illegal Turn,Van,1
VIO-001179,2025-06-14 12:37:44,"-46.6109,10.4607",Red Light,Truck,1
VIO-001180,2025-02-16 18:36:07,"9.9357,11.6164",No Signal,Sedan,5
VIO-001181,2025-09-27 17:06:22,"-66.1127,-175.6766",Illegal Turn,Truck,3
VIO-001182,2025-06-27 18:04:49,"-29.9980,79.6375",No Signal,Sedan,1
VIO-001183,2025-01-16 05:00:15,"86.3141,-173.3593",Illegal Turn,Sedan,4
VIO-001184,2025-07-17 14:52:57,,Illegal Turn,Truck,3
VIO-001185,01/14/25 13:42,"78.6905,53.5469",Illegal Parking,Van,2
VIO-001186,2026-Oct-30 11:00:00,"-81.0360,133.9094",no signal,Motorcycle,4
VIO-001187,2025_09_30 23:47:21,"-74.8814,-90.1587",Illegal Parking,Bus,
VIO-001188,2025-07-12 18:13:27,"44.0262,-33.9053",No Signal,Bus,3
VIO-001189,2025-09-14 02:40:53,"12.2378,-83.5306",Illegal Turn,Truck,2
VIO-001190,2025-04-24 13:19:19,"42.3492,66.7745",Red Light,Truck,3
VIO-001191,2025-01-08 06:46:35,"42.6552,-29.0212",Illegal Turn,Truck,4
VIO-001192,2025-10-23 16:59:38,"-36.8359,172.1719",No Signal,Van,5
VIO-001193,2025-08-13 03:21:02,"-15.3747,107.2142",Red Light,Van,3
VIO-001194,2024-12-30 12:42:52,,No Signal,Van,1
VIO-001195,2025-08-31 00:10:30,"-41.7759,80.5302",Speeding,Sedan,4
VIO-001196,2025-10-18 04:39:08,"52.9432,-143.2497",Red Light,Van,3
VIO-001197,2025-10-11 01:47:14,"-5.1497,-69.6049",Speeding,Motorcycle,4
VIO-001198,2024-12-24 06:41:30,"6.2835,-93.5042",Red Light,Van,5
VIO-001199,2025-07-18 10:22:07,,Speeding,Sedan,5
VIO-001200,2025-07-06 17:21:17,"26.8746,143.1948",No Signal,Sedan,3
VIO-001201,2025-04-05 06:28:21,"-75.1866,4.4746",Illegal Turn,Van,1
VIO-001202,2024/28/11 16:52:31,"27.9390,-55.7671",Red Light,Sedan,
VIO-001203,2025-07-01 22:39:39,"68.5162,-65.7206",Red Light,Van,4
VIO-001204,2025-04-29 22:11:15,,illegal turn,Truck,4
VIO-001205,2025-09-29 10:12:49,"57.0892,147.9131",Red Light,Motorcycle,
VIO-001206,2024_12_08 11:08:52,"42.6448,79.4441",Speeding,Bus,3
VIO-001207,2025-01-13 01:46:47,,Illegal Turn,Truck,1
VIO-001208,2025-10-09 07:36:41,"76.6862,51.4402",No Signal,Truck,
VIO-001209,2025-04-14 09:18:40,"-75.9062,-11.7408",Illegal Parking,Sedan,5
VIO-001210,2025-07-15 10:36:14,"-82.3663,-39.4775",Illegal Parking,Sedan,1
VIO-001211,2024-11-13 06:20:23,"76.6856,-47.2087",Illegal Parking,Van,5
VIO-001212,2025-04-10 02:01:56,"-86.1231,-161.1736",Speeding,Motorcycle,3
VIO-001213,2025-03-22 08:41:05,"-87.6962,-177.2607",Red Light,Bus,5
VIO-001214,2025-03-05 06:53:16,"-10.2260,167.0750",Red Light,Truck,1
VIO-001215,2025-01-10 15:01:43,"12.3856,-56.3414",Illegal Parking,Truck,2
VIO-001216,2025-05-28 16:55:51,"-2.3908,-115.2772",Illegal Parking,Motorcycle,2
VIO-001217,05/07/25 04:20,"51.9263,-134.5728",No Signal,Truck,1
VIO-001218,2025-09-16 15:10:59,"-87.9939,95.0735",Red Light,Bus,2
VIO-001219,2025-07-25 22:54:16,"-10.8568,101.0128",Red Light,Truck,3
VIO-001220,2025-10-22 22:24:56,"-10.2851,76.9414",Illegal Turn,Truck,
VIO-001221,2025-05-20 14:49:14,"32.4812,-23.1699",Illegal Parking,Van,2
VIO-001222,2025-04-24 07:25:04,"88.6656,-19.9767",Red Light,Bus,1
VIO-001223,2024-11-14 08:40:38,"-72.1567,-140.4650",Illegal Turn,Motorcycle,4
VIO-001224,2025-07-03 16:26:30,"80.9500,-57.4249",Speeding,Truck,3
VIO-001225,2025-03-04 12:07:43,"5.3420,-64.8503",No Signal,Truck,3
VIO-001226,2025-01-17 19:34:57,"36.4788,150.5331",Illegal Parking,Bus,4
VIO-001227,2025-04-25 18:39:52,"75.6737,-47.5791",No Signal,Bus,2
VIO-001228,2025-03-28 22:09:09,"20.8101,-71.0895",Illegal Parking,Bus,2
VIO-001229,2025-01-01 21:37:31,"9.2416,-63.7891",Speeding,Truck,4
VIO-001230,2025_07_04 15:18:11,"79.3441,100.5423",Illegal Parking,Van,
VIO-001231,2025-08-31 00:57:14,"88.3035,168.2705",Illegal Parking,Truck,5
VIO-001232,2025-04-17 13:41:45,"53.9819,-17.9112",Illegal Turn,Truck,3
VIO-001233,2025-07-29 14:27:18,"17.9832,15.2329",Illegal Turn,Bus,2
VIO-001234,08/08/25 04:36,,Red Light,Sedan,4
VIO-001235,2025-04-09 13:07:57,"-10.1561,-99.1168",Illegal Parking,Van,4
VIO-001236,2024-12-23 15:53:03,"66.6102,45.2313",Illegal Parking,Van,1
VIO-001237,2025-02-14 12:53:45,"19.5158,-170.6038",Speeding,Sedan,4
VIO-001238,2025-01-14 19:43:33,"-87.1499,-113.0286",Red Light,Bus,3
VIO-001239,2025-10-25 05:54:22,"72.7205,-59.6323",Red Light,Motorcycle,5
VIO-001240,2025-07-13 05:36:52,"-11.0702,66.2591",Illegal Turn,Sedan,3
VIO-001241,2025-03-30 16:50:52,"-57.7587,81.0848",Red Light,Van,1
VIO-001242,2024-12-17 13:09:38,"19.3881,176.6764",No Signal,Bus,5
VIO-001243,2025-08-22 05:46:42,"-68.5547,122.7672",Red Light,Truck,1
VIO-001244,2025-07-11 19:32:06,"-23.1574,-120.2435",Speeding,Truck,1
VIO-001245,2024-12-21 00:36:05,"-28.0704,152.2428",Speeding,Sedan,
VIO-001246,2025-03-04 20:57:31,"-49.4309,49.7705",Illegal Parking,Bus,5
VIO-001247,2025-10-25 12:41:56,,Illegal Parking,Van,4
VIO-001248,2026-Oct-30 11:00:00,"-34.1237,105.1946",No Signal,Motorcycle,5
VIO-001249,2025-07-15 06:23:17,"80.0000,33.9594",Speeding,Truck,1
VIO-001250,2025-06-11 23:58:01,"-34.1982,-114.1228",Speeding,Bus,5
VIO-001251,2025-05-01 20:55:36,"0.1865,75.7444",Illegal Turn,Sedan,3
VIO-001252,2025-09-12 07:15:34,"-8.2855,125.6998",Speeding,Sedan,
VIO-001253,2025-02-22 14:13:10,"43.1542,-140.8601",Red Light,Bus,4
VIO-001254,2025-06-12 19:34:09,"-66.3684,56.1779",Illegal Parking,Motorcycle,1
VIO-001255,2025-02-05 03:16:44,"20.9298,157.6654",Red Light,Bus,3
VIO-001256,2025-09-18 16:18:24,"50.2047,133.7892",Speeding,Bus,3
VIO-001257,2025-09-30 08:28:42,"45.0290,-114.2919",Illegal Parking,Sedan,5
VIO-001258,2025-10-08 16:33:43,,Speeding,Truck,5
VIO-001259,2025-03-27 07:12:23,"-87.5834,-8.1893",Illegal Parking,Motorcycle,3
VIO-001260,2025-01-26 11:23:02,"45.7609,-76.5109",No Signal,Truck,3
VIO-001261,2025-02-07 19:06:42,"66.4994,-173.0162",Illegal Turn,Bus,2
VIO-001262,2025-10-23 00:16:38,"49.0191,-70.0950",Speeding,Sedan,4
VIO-001263,2025-06-13 18:19:05,"-46.8318,100.7244",Speeding,Sedan,1
VIO-001264,2025-01-27 23:36:40,"-47.6032,108.5924",Illegal Turn,Motorcycle,1
VIO-001265,2025-05-01 05:44:19,"89.0395,-122.0391",Illegal Turn,Truck,3
VIO-001266,2025-02-19 08:25:24,"11.8869,-139.9153",No Signal,Sedan,1
VIO-001267,2025-11-08 10:36:20,"53.1526,-126.4985",No Signal,Bus,5
VIO-001268,2025-06-15 14:43:45,"19.4211,-170.4998",Red Light,Bus,4
VIO-001269,2025-07-07 06:20:31,"-55.8890,-40.9739",Red Light,Truck,5
VIO-001270,2024-12-22 06:21:26,,No Signal,Van,5
VIO-001271,2025-06-12 17:57:38,"68.7725,74.1961",Illegal Turn,Motorcycle,2
VIO-001272,2025-09-18 23:47:02,"-79.5939,99.4721",red light,Motorcycle,HIGH
VIO-001273,2025-05-06 19:44:13,"3.5511,37.9434",Illegal Parking,Truck,2
VIO-001274,2025_09_14 05:11:52,"70.8116,-30.3826",Illegal Parking,Sedan,4
VIO-001275,2025-07-05 20:48:55,"12.6408,-56.2598",Illegal Parking,Motorcycle,
VIO-001276,2025-04-19 09:59:57,"-85.7707,-66.8470",Illegal Parking,Motorcycle,1
VIO-001277,2025/06/08 09:06:58,"52.8047,18.8232",Red Light,Sedan,5
VIO-001278,2025-11-04 00:51:59,"85.5911,53.6422",Speeding,Van,4
VIO-001279,2025-07-15 03:18:41,"79.5448,69.3596",Red Light,Van,1
VIO-001280,2025-04-10 04:40:49,"82.9589,101.0795",No Signal,Bus,5
VIO-001281,2025-10-16 12:26:06,"-8.7644,-6.7887",Red Light,Sedan,3
VIO-001282,2025-11-11 15:05:33,,Speeding,Bus,2
VIO-001283,2024-11-24 08:40:08,"-76.5974,-48.5594",Illegal Parking,Sedan,3
VIO-001284,2025/27/02 09:23:35,"-9.8130,164.5633",Speeding,Bus,5
VIO-001285,2025-10-31 19:23:02,"-2.5646,-148.9272",Speeding,Van,2
VIO-001286,2025-10-20 03:14:53,"-33.1801,105.6263",Red Light,Motorcycle,
VIO-001287,2025-08-18 23:49:37,,No Signal,Motorcycle,4
VIO-001288,2025-04-21 13:53:17,"-35.3599,-36.8157",Speeding,Bus,1
VIO-001289,2026-Oct-30 11:00:00,"68.5310,24.4106",No Signal,Van,1
VIO-001290,2025-03-12 18:38:41,"-54.9827,-56.8106",Illegal Parking,Truck,3
VIO-001291,N/A,"55.2626,167.9824",Illegal Parking,Sedan,4
VIO-001292,2025-01-13 15:10:12,"-52.5636,36.1195",Red Light,Van,2
VIO-001293,2025-07-31 06:35:09,"42.1274,-149.3862",Illegal Parking,Truck,4
VIO-001294,2025-06-02 03:15:01,"87.6500,121.9618",Red Light,Sedan,3
VIO-001295,2025_07_10 09:49:48,"1.1827,100.2466",Red Light,Sedan,4
VIO-001296,2025-04-30 07:32:35,"71.0368,-135.4340",No Signal,Truck,2
VIO-001297,2025-03-18 21:39:11,"80.3553,-106.6010",No Signal,Van,2
VIO-001298,2025-04-08 15:28:34,"-53.3345,-179.6523",Speeding,Bus,3
VIO-001299,2024-11-24 17:05:44,"54.7487,112.2649",Speeding,Truck,2
VIO-001300,2025-04-23 03:04:37,"-34.6555,-174.1564",No Signal,Van,HIGH
VIO-001301,2025-06-22 11:16:14,"4.0331,-54.9489",Illegal Turn,Sedan,3
VIO-001302,2025-02-12 18:31:03,"-24.1076,-119.3064",No Signal,Truck,1
VIO-001303,2025-05-10 13:53:21,"-12.8259,-74.2733",Illegal Parking,Motorcycle,3
VIO-001304,2025-08-13 07:13:23,"24.4684,-39.4393",illegal parking,Motorcycle,5
VIO-001305,2025-07-31 11:28:36,"-87.9597,-73.6771",Illegal Turn,Sedan,2
VIO-001306,2025-09-28 15:47:22,"76.9666,25.1375",Illegal Parking,Sedan,2
VIO-001307,2025-07-25 05:21:54,"-39.6440,-120.4844",No Signal,Motorcycle,1
VIO-001308,2025-04-21 00:07:38,"-6.9905,-115.7446",Illegal Turn,Motorcycle,2
VIO-001309,2024-11-14 08:03:25,"82.1525,75.6985",Red Light,Van,3
VIO-001310,2025-03-27 03:26:20,"14.5828,103.4845",Red Light,Sedan,4
VIO-001311,2025/10/02 22:19:13,"-85.0398,-141.6044",Illegal Parking,Motorcycle,3
VIO-001312,2025-01-24 22:21:14,"56.8313,61.2930",Red Light,Sedan,5
VIO-001313,2025-10-25 17:45:54,"-60.5459,-102.9259",Speeding,Truck,2
VIO-001314,2025-03-20 12:21:29,"-27.3966,-17.0408",Illegal Parking,Sedan,2
VIO-001315,2025-10-23 00:13:14,"-83.7427,-111.3040",No Signal,Van,1
VIO-001316,2025-02-28 12:44:25,,No Signal,Van,1
VIO-001317,2025-01-15 00:01:11,"-10.6975,14.4516",Illegal Turn,Bus,3
VIO-001318,2025-06-19 21:38:14,"-29.1728,-173.2798",Illegal Turn,Van,HIGH
VIO-001319,2024-11-19 01:49:44,"40.3943,90.7934",Illegal Parking,Sedan,3
VIO-001320,2025-07-05 10:53:21,"-75.5670,-54.6733",Illegal Parking,Motorcycle,5
VIO-001321,2025-02-26 05:12:58,"78.5095,162.1030",Red Light,Truck,5
VIO-001322,2025-06-12 07:06:23,"29.6930,-123.0394",no signal,Van,3
VIO-001323,2025-09-25 10:00:06,"-33.0796,-164.3990",Illegal Turn,Sedan,4
VIO-001324,2025-02-14 16:57:40,"-20.8318,59.3699",No Signal,Van,3
VIO-001325,2025-09-11 07:20:29,"-34.2361,123.1626",Illegal Turn,Truck,4
VIO-001326,2025-08-16 10:03:41,"-43.5194,72.3118",Illegal Parking,Motorcycle,3
VIO-001327,2025-03-17 05:27:06,"-18.4729,-149.8758",Illegal Parking,Truck,5
VIO-001328,2025-09-03 14:51:24,"59.9516,1.5153",Red Light,Sedan,3
VIO-001329,2025-08-10 23:28:46,,Illegal Parking,Truck,4
VIO-001330,2025-09-07 22:03:34,"88.1285,42.8882",Illegal Turn,Bus,3
VIO-001331,2025-09-24 05:10:00,"-81.4826,-127.6578",Speeding,Sedan,4
VIO-001332,2025-04-15 00:43:58,"9.4364,92.8025",Illegal Parking,Van,4
VIO-001333,2025-10-13 07:43:51,"38.2487,-136.9529",Illegal Parking,Bus,3
