Location,Total_Violations,Avg_Severity
"-29.0601,-32.3357",1,1.0
"28.7524,9.6027",1,5.0
"44.5217,82.7544",1,3.0
"27.6850,-107.4128",1,5.0
"-59.1498,-19.3369",1,4.0
"-24.8433,-115.8765",1,2.0
"58.6868,20.6834",1,3.0
"78.6962,-6.1859",1,1.0
"-45.5661,7.7494",1,5.0
"36.2867,-39.9766",1,
"60.1555,101.9593",1,4.0
"-82.9805,-73.2883",1,1.0
"-45.4222,-1.8362",1,1.0
"64.1200,-135.6558",1,3.0
"-7.2410,164.0526",1,1.0
"43.8722,-29.0821",1,1.0
"45.6365,-72.6277",1,3.0
"84.7090,-104.7094",1,3.0
"-58.6328,-115.0395",1,4.0
"75.5238,123.4335",1,4.0
"3.2493,-7.4049",1,5.0
"9.0060,106.3116",1,1.0
"62.6168,36.2486",1,4.0
"-60.4126,1.5786",1,3.0
"17.7306,-41.6244",1,1.0
"-56.8168,-133.2023",1,1.0
"83.9570,99.5979",1,2.0
"-24.6046,112.7728",1,3.0
"67.8520,133.3986",1,3.0
"-85.7220,-152.2267",1,1.0
"6.9656,-127.0508",1,5.0
"-64.9582,74.3598",1,3.0
"64.3328,-32.0040",1,2.0
"-85.4958,18.9280",1,5.0
"-66.6775,146.9889",1,1.0
"-39.2770,-147.9131",1,5.0
"87.1353,43.4898",1,1.0
"17.9444,-3.3661",1,5.0
"-76.3716,-166.9721",1,4.0
"-50.7135,-132.1358",1,4.0
"81.6911,-131.7106",1,
"-20.2849,88.8208",1,1.0
"-56.3852,-2.6811",1,1.0
"50.4176,47.4074",1,2.0
"9.5615,-143.7969",1,2.0
"65.0337,-20.4398",1,1.0
"62.5686,134.7290",1,5.0
"-87.2730,71.3865",1,3.0
"-48.6078,-129.7666",1,5.0
"-72.3683,93.3584",1,4.0
"-15.8079,-84.6823",1,2.0
"33.1900,179.7548",1,1.0
"49.4671,-89.2268",1,5.0
"26.8211,-4.6368",1,2.0
"-31.2555,54.3117",1,4.0
"-82.4150,-105.9741",1,5.0
"57.8953,-128.0749",1,4.0
"46.1328,0.9373",1,5.0
"39.0124,-93.8004",1,5.0
"-52.8343,72.8512",1,1.0
"65.7331,42.3339",1,3.0
"-7.6511,-164.1349",1,4.0
"77.3469,-100.1933",1,3.0
"44.2478,-41.2635",1,4.0
"45.0589,36.5041",1,1.0
"-65.9747,-16.7678",1,5.0
"-52.0752,-41.7069",1,5.0
"-81.5785,-37.6804",1,4.0
"-5.2954,-25.9849",1,5.0
"43.0413,76.6746",1,5.0
"-64.3962,116.8836",1,5.0
"-20.5379,72.9706",1,1.0
"60.3546,-0.1225",1,2.0
"43.8505,11.8318",1,2.0
"-4.2864,72.0547",1,1.0
"19.1955,71.9842",1,1.0
"-79.5771,108.5573",1,5.0
"-42.8143,-131.5633",1,1.0
"67.3003,64.6964",1,
"-55.7837,-31.0972",1,1.0
"16.2523,14.2211",1,3.0
"-0.3018,5.1633",1,1.0
"-36.9237,-5.1966",1,2.0
"33.7883,67.5862",1,
"-13.6122,-161.7706",1,2.0
"50.7240,-93.0295",1,1.0
"30.0961,-106.4932",1,4.0
"81.4170,113.2871",1,3.0
"-32.3633,55.9806",1,4.0
"-26.4141,-145.8887",1,5.0
"-36.9316,16.1035",1,1.0
"11.1767,30.9452",1,2.0
"35.4524,-16.3966",1,2.0
"-88.7193,-105.1932",1,5.0
"52.4243,77.1295",1,5.0
"72.7219,-46.0758",1,2.0
"16.8001,-145.9503",1,1.0
"35.3738,146.4167",1,4.0
"5.2960,56.3359",1,1.0
"-72.5799,-114.8270",1,1.0
"-75.6077,-155.3381",1,3.0
"11.5851,19.1120",1,2.0
"-17.1087,-172.8406",1,3.0
"-33.4544,27.7192",1,5.0
"8.9269,-78.6145",1,4.0
"-84.7059,143.3176",1,4.0
"-22.8914,93.6287",1,4.0
"26.7383,-69.6285",1,5.0
"-77.3094,73.9571",1,3.0
"-7.8841,-53.0250",1,
"55.5760,-78.7426",1,1.0
"-80.5585,3.1581",1,4.0
"-73.2092,14.3539",1,1.0
"-8.2106,-109.0220",1,1.0
"13.5206,-122.4903",1,2.0
"-48.0091,-115.8970",1,3.0
"17.2502,-176.8899",1,3.0
"30.4468,-155.0545",1,5.0
"-75.2884,116.0546",1,1.0
"-54.1683,172.9030",1,5.0
"-24.0780,39.3076",1,3.0
"-46.1864,-46.9544",1,5.0
"-55.1356,-110.6839",1,5.0
"-7.5137,-141.0537",1,3.0
"55.7934,110.6541",1,2.0
"-30.4069,-43.0705",1,1.0
"-61.2963,-78.7438",1,3.0
"8.8325,-27.9743",1,5.0
"63.1092,166.7386",1,3.0
"16.8306,155.0222",1,4.0
"43.6660,-58.9951",1,3.0
"11.8997,105.6179",1,1.0
"-53.0950,-116.3849",1,2.0
"77.9499,76.8398",1,2.0
"-60.9273,164.9589",1,1.0
"44.9901,1.8607",1,2.0
"-76.9221,34.7206",1,4.0
"-21.7648,-94.4021",1,2.0
"-51.6040,-65.7519",1,4.0
"0.7949,121.6806",1,2.0
"7.3625,49.9070",1,1.0
"-82.6062,-122.3022",1,3.0
"13.2827,-107.4236",1,4.0
"-51.2266,30.9958",1,5.0
"-44.4102,-104.1757",1,1.0
"39.3338,123.8070",1,1.0
"-33.3541,35.3096",1,1.0
"45.2617,133.0931",1,
"-5.7544,132.6054",1,4.0
"-16.2126,-23.9884",1,3.0
"-42.1022,155.1263",1,1.0
"56.3335,-116.3361",1,2.0
"-50.1390,-131.2602",1,2.0
"-75.7228,150.3943",1,2.0
"-47.0053,-90.4812",1,4.0
"75.7945,-74.1467",1,2.0
"89.4748,-162.2212",1,2.0
"35.1395,59.2222",1,4.0
"82.0942,-83.2116",1,1.0
"52.9303,-103.8952",1,3.0
"-64.9709,49.8690",1,2.0
"-23.9793,40.8219",1,2.0
"-48.9058,-178.9100",1,5.0
"-30.2781,134.8593",1,4.0
"-32.5429,110.4697",1,3.0
"58.0690,60.1783",1,2.0
"67.8208,76.9345",1,2.0
"48.0218,-93.3119",1,
"-5.8328,93.4758",1,5.0
"-59.0053,-148.0248",1,2.0
"0.3583,38.6018",1,2.0
"29.5201,-163.4000",1,4.0
"62.0035,-63.2383",1,5.0
"32.7890,-158.9745",1,3.0
"66.8147,-154.1175",1,1.0
"-25.5879,78.5477",1,3.0
"-88.4655,89.1001",1,1.0
"18.8420,-69.8132",1,5.0
"78.7085,-80.1573",1,3.0
"31.4399,33.5238",1,5.0
"-65.7428,2.7817",1,4.0
"-89.5039,-79.5408",1,2.0
"66.5863,165.4714",1,5.0
"50.2876,-50.1762",1,4.0
"-19.5359,-45.8751",1,1.0
"39.2266,-86.9809",1,2.0
"-60.6482,138.1946",1,5.0
"29.3092,133.6081",1,4.0
"-55.8709,-64.5315",1,4.0
"33.7696,111.7985",1,1.0
"-42.8919,-76.0097",1,
"12.5842,34.8491",1,4.0
"26.8257,45.2633",1,3.0
"75.2232,47.0049",1,1.0
"-19.4961,60.1009",1,4.0
"78.3418,115.7236",1,1.0
"69.5936,35.6873",1,4.0
"-30.7127,-68.7736",1,5.0
"1.7355,3.2237",1,1.0
"73.9295,-146.6720",1,4.0
"80.0534,-18.7387",1,1.0
"26.0842,-134.6107",1,3.0
"82.5776,72.2814",1,5.0
"1.4753,-95.2108",1,1.0
"-18.7649,65.8849",1,2.0
"52.8701,106.4526",1,4.0
"80.8608,16.2488",1,4.0
"-13.4909,143.4192",1,5.0
"-21.3723,-6.6294",1,3.0
"74.6070,-0.0099",1,1.0
"79.9606,84.2624",1,2.0
"-64.1833,129.7926",1,3.0
"71.7855,4.1157",1,4.0
"34.2180,151.8854",1,3.0
"21.0833,34.7061",1,3.0
"10.9163,-176.3022",1,2.0
"78.3809,51.7204",1,5.0
"4.4596,-159.7816",1,3.0
"-86.0302,-55.5958",1,3.0
"23.4202,-164.8081",1,1.0
"61.7545,-5.1186",1,3.0
"-50.7941,2.0828",1,4.0
"-75.1651,-31.5498",1,3.0
"46.9381,-122.7395",1,2.0
"-67.2727,-108.7382",1,2.0
"58.0549,23.0227",1,1.0
"-45.4693,-37.7395",1,4.0
"62.4820,-152.6233",1,5.0
"-53.1000,72.5672",1,2.0
"26.4012,-59.5230",1,4.0
"-61.2889,75.6924",1,4.0
"-70.6369,40.4026",1,5.0
"26.0092,109.4187",1,1.0
"47.5092,120.5170",1,2.0
"34.4135,39.5952",1,5.0
"-53.3869,7.6811",1,5.0
"-30.0840,51.5557",1,3.0
"59.0606,173.5099",1,4.0
"-42.0900,175.9901",1,1.0
"-33.1561,127.8814",1,
"-32.9805,-31.0467",1,2.0
"79.3621,110.1198",1,4.0
"89.4306,-147.3247",1,3.0
"34.5446,-16.8492",1,5.0
"84.1272,56.6087",1,4.0
"89.8991,36.6630",1,3.0
"22.7355,-131.0762",1,4.0
"3.1507,123.3480",1,4.0
"-21.8411,125.8280",1,5.0
"58.6855,171.8646",1,3.0
"83.0433,110.2505",1,5.0
"-66.1177,-3.6294",1,3.0
"-76.2930,86.6311",1,5.0
"27.8711,-112.8975",1,2.0
"-4.2959,118.1725",1,4.0
"67.6258,103.5980",1,1.0
"48.2567,97.5553",1,4.0
"-12.4281,2.6800",1,5.0
"-25.7330,-0.0537",1,3.0
"-76.9641,-38.7280",1,2.0
"-45.2428,-169.8138",1,
"63.3548,-6.5602",1,3.0
"75.4711,-38.2232",1,3.0
"-58.0401,14.2338",1,4.0
"64.0952,139.8378",1,1.0
"-42.8507,85.4953",1,5.0
"-15.2645,120.0109",1,3.0
"-58.6482,-142.6142",1,1.0
"60.0944,26.7225",1,3.0
"21.4283,-75.5409",1,1.0
"-6.6316,-8.2987",1,3.0
"-65.5331,59.9324",1,5.0
"66.6276,-33.1798",1,1.0
"6.4833,-39.3520",1,3.0
"-80.6218,37.9390",1,4.0
"-55.4222,177.6104",1,2.0
"49.7163,153.7222",1,
"45.6324,13.1579",1,2.0
"4.0259,20.3412",1,3.0
"-53.8156,-4.5026",1,1.0
"78.2226,157.7247",1,4.0
"-0.5779,23.7351",1,5.0
"33.8331,178.5121",1,4.0
"-86.0915,-27.4860",1,3.0
"37.6126,101.5811",1,5.0
"-0.4533,110.9906",1,3.0
"-30.1674,-44.9536",1,1.0
"71.0795,22.1362",1,4.0
"20.0174,61.7460",1,5.0
"-19.7470,56.2128",1,3.0
"77.0569,-7.6679",1,1.0
"-64.4805,-96.7916",1,2.0
"54.8632,53.6093",1,5.0
"-22.5979,-9.3497",1,5.0
"-65.4057,10.6916",1,2.0
"20.9271,80.3105",1,2.0
"-55.5961,-24.3664",1,
"82.3981,-107.9666",1,1.0
"-2.7585,-86.4799",1,4.0
"-88.7031,-129.2273",1,2.0
"44.4117,-120.0016",1,5.0
"-51.7099,-52.5458",1,1.0
"-27.6840,139.2417",1,1.0
"41.9448,91.4920",1,3.0
"-55.8566,-47.6076",1,4.0
"10.0516,-164.1732",1,2.0
"-36.0362,57.8644",1,1.0
"-87.6879,-174.1782",1,1.0
"-39.3085,113.5979",1,2.0
"-22.5463,-104.4361",1,
"-60.7141,61.1946",1,4.0
"-50.1204,39.3104",1,1.0
"38.8020,7.8790",1,5.0
"-39.2072,-18.8218",1,2.0
"-15.6583,114.4445",1,1.0
"-3.3923,-78.4584",1,1.0
"-83.8700,148.5764",1,5.0
"-21.4172,-151.0268",1,4.0
"32.7001,125.1390",1,1.0
"-58.6300,81.9335",1,1.0
"-55.9756,-120.6340",1,3.0
"-18.6884,-60.3201",1,2.0
"41.6669,143.8674",1,1.0
"-70.8258,-139.8840",1,1.0
"89.9304,8.4591",1,1.0
"-47.5634,6.3278",1,
"58.1117,-38.1355",1,4.0
"63.9013,-105.4764",1,1.0
"-63.9455,80.7297",1,2.0
"8.5620,-62.9817",1,4.0
"-67.8471,-44.7573",1,5.0
"9.8664,77.0247",1,5.0
"87.2958,33.8599",1,
"88.3233,26.6052",1,5.0
"8.6995,-12.8033",1,5.0
"81.8850,167.1702",1,
"-77.5235,162.5826",1,3.0
"-57.0097,17.5536",1,
"-64.3072,20.5439",1,1.0
"-85.3375,-109.8718",1,5.0
"-44.8237,102.4692",1,3.0
"0.3665,-167.3056",1,5.0
"-87.4266,32.3559",1,5.0
"-83.5178,-50.9427",1,5.0
"86.5934,87.4331",1,4.0
"-3.7659,-30.8155",1,5.0
"-7.9365,104.8148",1,
"-7.6001,21.2537",1,4.0
"85.7801,45.4004",1,1.0
"-9.0936,92.5263",1,5.0
"-20.7077,-83.7064",1,1.0
"-26.5066,-66.9777",1,4.0
"11.1970,-93.3705",1,
"23.4483,72.6481",1,5.0
"25.6224,-118.4365",1,2.0
"-60.7598,-71.1757",1,2.0
"-63.7790,-161.4130",1,3.0
"-89.4368,-115.4255",1,4.0
"62.9715,162.6817",1,4.0
"66.0376,49.5361",1,3.0
"-27.8454,-59.0674",1,
"20.2438,92.4933",1,3.0
"87.2241,176.4239",1,4.0
"-72.5713,81.3513",1,4.0
"81.1945,19.2645",1,
"41.7496,-2.6290",1,4.0
"14.0937,78.5251",1,2.0
"-50.8306,-125.9935",1,5.0
"4.4504,-71.8145",1,3.0
"-25.7763,-51.1837",1,4.0
"-37.8082,14.3267",1,4.0
"75.6159,167.3219",1,3.0
"-9.0013,138.6373",1,
"-52.6573,-14.3676",1,3.0
"28.1600,-160.6509",1,5.0
"42.5514,-116.9061",1,3.0
"33.4506,120.8416",1,5.0
"2.1084,-82.5659",1,3.0
"84.6934,-17.3639",1,4.0
"-75.6882,3.0611",1,3.0
"18.2034,63.3516",1,1.0
"-3.7330,-24.2417",1,2.0
"46.7273,-81.8941",1,3.0
"-34.7091,68.0922",1,4.0
"-35.1610,-27.0996",1,2.0
"59.4166,-171.8307",1,2.0
"4.3619,31.0654",1,2.0
"-11.4465,-5.8284",1,
"-31.6249,40.5482",1,2.0
"68.3335,-129.4423",1,2.0
"-79.6621,80.2447",1,1.0
"51.7325,-76.4105",1,2.0
"-30.6520,49.6106",1,5.0
"-15.3616,-139.1511",1,2.0
"-87.8757,114.2210",1,4.0
"-61.6423,-135.2558",1,4.0
"5.5933,166.8791",1,4.0
"-66.3537,-121.5722",1,1.0
"-74.9086,106.8066",1,4.0
"-9.7427,112.6734",1,2.0
"-23.5111,-69.1786",1,1.0
"87.5736,-161.3856",1,5.0
"-64.4251,108.0668",1,5.0
"-51.5707,43.4487",1,4.0
"-19.2151,-90.5675",1,1.0
"-3.3394,-7.8802",1,2.0
"-25.2450,68.8069",1,4.0
"75.8925,90.0491",1,
"80.5252,-165.4421",1,5.0
"-42.7795,114.4496",1,2.0
"21.0133,-120.9740",1,4.0
"-49.6973,-148.1780",1,5.0
"-9.2806,31.4220",1,5.0
"-72.4127,51.7521",1,
"32.4200,-37.8740",1,4.0
"-85.8118,-0.9290",1,4.0
"27.4523,126.5613",1,5.0
"26.4003,69.9886",1,5.0
"-55.8797,-92.6482",1,5.0
"84.6925,121.5500",1,2.0
"27.9853,-18.7141",1,5.0
"85.4945,-58.5494",1,5.0
"-85.6801,-85.1914",1,2.0
"53.6227,32.7058",1,5.0
"54.4750,-93.5908",1,3.0
"86.3596,39.9183",1,2.0
"58.8404,-36.2486",1,3.0
"67.3497,109.1210",1,2.0
"80.8998,-76.8841",1,5.0
"-60.4872,-66.0186",1,4.0
"-57.3423,170.3606",1,2.0
"68.2067,-49.9957",1,1.0
"-46.0944,-64.3175",1,1.0
"39.1981,-21.5947",1,2.0
"-67.5633,-80.5272",1,3.0
"62.7906,86.3205",1,5.0
"84.1496,74.2869",1,4.0
"49.7719,-120.3630",1,5.0
"29.6372,28.2737",1,5.0
"-41.0344,154.3929",1,2.0
"-23.7626,61.7002",1,1.0
"-54.9468,-64.7988",1,1.0
"-77.0079,-107.1148",1,2.0
"-18.9932,-106.6630",1,1.0
"-80.9143,165.2853",1,5.0
"-42.0895,-151.8615",1,4.0
"-31.1250,15.7848",1,2.0
"-69.7778,115.8596",1,1.0
"17.4780,-101.7842",1,4.0
"-73.5368,151.5437",1,4.0
"76.6975,102.6214",1,4.0
"74.3340,-72.6789",1,3.0
"-21.2603,26.8569",1,1.0
"26.1246,-5.5749",1,2.0
"-80.1167,-79.3646",1,4.0
"-35.2754,-81.7224",1,2.0
"11.8173,-128.5716",1,5.0
"44.9838,-27.2265",1,4.0
"-75.5739,146.9615",1,3.0
"51.4213,-104.2357",1,3.0
"-67.2412,-160.4344",1,2.0
"68.8128,-10.2197",1,4.0
"-60.7299,-129.4324",1,2.0
"4.8753,6.3259",1,5.0
"-24.0181,-85.1678",1,1.0
"-55.8182,-74.3988",1,2.0
"-60.4734,-108.9713",1,
"27.8951,156.4318",1,1.0
"23.2325,-103.9602",1,5.0
"46.1832,-132.5450",1,1.0
"87.3752,159.4305",1,5.0
"-19.9481,91.9313",1,
"-69.3917,52.7696",1,5.0
"62.2161,-109.7534",1,3.0
"-19.8166,-144.3857",1,1.0
"66.8180,-137.8732",1,4.0
"-89.4204,41.0090",1,
"-38.5943,101.0690",1,1.0
"34.8051,-3.3867",1,3.0
"83.7090,-175.8076",1,5.0
"0.7007,-174.8512",1,4.0
"35.3960,114.5693",1,2.0
"58.0767,41.8349",1,5.0
"-62.9513,-118.9614",1,4.0
"-77.4844,-49.4829",1,2.0
"-14.5289,-177.2137",1,4.0
"-45.8273,79.3583",1,1.0
"47.0975,116.4225",1,4.0
"17.0674,-92.2590",1,2.0
"64.4927,35.7115",1,5.0
"48.9683,-19.8675",1,3.0
"-72.1648,109.3727",1,3.0
"-16.4325,58.5135",1,5.0
"-8.2328,107.8427",1,2.0
"69.1687,126.8103",1,2.0
"20.3696,-75.8324",1,2.0
"-87.3226,-64.1508",1,1.0
"26.8662,-25.8231",1,2.0
"42.0107,-178.7940",1,4.0
"74.9027,-126.3424",1,2.0
"73.5286,87.6531",1,2.0
"-78.0669,-160.7804",1,5.0
"13.0119,-4.5898",1,4.0
"19.1391,-83.2372",1,3.0
"-60.8133,-105.5327",1,3.0
"13.7295,-34.4620",1,
"45.5908,31.0325",1,4.0
"27.7976,56.6426",1,3.0
"-71.2496,-109.1475",1,5.0
"-15.8729,32.2832",1,5.0
"-36.7648,99.4832",1,2.0
"3.0121,3.8104",1,2.0
"-87.2235,-159.4369",1,2.0
"72.2296,115.5194",1,1.0
"-48.1227,50.6285",1,1.0
"83.4236,-2.2045",1,5.0
"-37.7610,74.7788",1,1.0
"37.6091,-3.0158",1,3.0
"49.3488,-171.4307",1,2.0
"70.3792,-66.2070",1,2.0
"-43.2413,162.4690",1,3.0
"54.0801,96.3331",1,4.0
"-69.1602,-82.4778",1,3.0
"84.9091,-118.4262",1,2.0
"70.3393,-131.2650",1,2.0
"-72.9737,-179.7593",1,2.0
"66.7317,56.1248",1,2.0
"45.7074,-4.7331",1,5.0
"17.2865,-178.5752",1,4.0
"-70.0468,-146.1559",1,4.0
"-89.0751,-42.4621",1,5.0
"38.1368,84.1436",1,4.0
"-18.3670,-142.1195",1,4.0
"-52.1174,162.8697",1,1.0
"-62.1674,-41.4760",1,3.0
"55.2956,159.2503",1,1.0
"16.3685,-113.4576",1,3.0
"30.8721,-117.2789",1,1.0
"-75.2720,-152.5517",1,5.0
"-88.1441,-54.5703",1,2.0
"-72.9701,-27.5492",1,
"-10.2427,-74.3817",1,4.0
"-58.7747,100.6928",1,2.0
"-4.2907,-51.3141",1,3.0
"-80.8342,171.2421",1,5.0
"-16.8363,107.2829",1,2.0
"-81.2768,133.2639",1,1.0
"74.3692,138.8587",1,3.0
"-81.4434,-141.9747",1,4.0
"-44.4799,-43.7286",1,1.0
"-21.6572,90.3879",1,5.0
"-62.2436,148.2366",1,1.0
"30.5880,-135.4826",1,2.0
"42.8219,-169.0609",1,
"-58.6169,-57.2043",1,4.0
"-68.7378,-76.9332",1,2.0
"-36.5997,-60.5834",1,2.0
"15.2359,-15.0536",1,3.0
"1.2621,81.7746",1,4.0
"-3.8930,-150.9781",1,
"19.6130,127.0776",1,5.0
"-8.6829,-54.2012",1,5.0
"-85.2256,101.0651",1,5.0
"46.3184,175.3741",1,5.0
"-57.8932,-169.8440",1,3.0
"44.3096,14.5486",1,2.0
"41.7995,-173.9172",1,3.0
"-51.5578,-166.3372",1,2.0
"74.2760,138.3618",1,3.0
"-80.8648,166.0805",1,5.0
"-11.6089,171.7184",1,4.0
"7.7967,-13.8200",1,5.0
"-65.6633,-54.5356",1,4.0
"87.6004,-88.1018",1,4.0
"-53.7996,-3.7635",1,
"34.7293,151.7303",1,3.0
"58.8641,-5.7604",1,4.0
"-9.3179,-172.8469",1,2.0
"35.5720,-30.3205",1,1.0
"58.6607,64.9122",1,4.0
"-29.0070,177.0642",1,
"-0.5820,176.8366",1,
"75.1637,153.2769",1,5.0
"12.5560,-101.2446",1,1.0
"24.9209,-151.9439",1,1.0
"39.4101,-136.9807",1,2.0
"-74.9225,-121.3427",1,4.0
"-40.2896,157.9887",1,4.0
"28.0105,63.8952",1,3.0
"46.0966,-134.2422",1,4.0
"40.9760,170.4412",1,3.0
"52.1920,-134.0158",1,5.0
"-15.9173,110.5936",1,
"-18.5769,-45.5364",1,3.0
"-23.4791,93.1691",1,2.0
"60.3765,30.2442",1,1.0
"39.3759,179.6839",1,5.0
"-40.1310,-147.7359",1,3.0
"-26.3922,-175.9325",1,4.0
"-10.3381,-116.4439",1,2.0
"41.9868,163.2243",1,5.0
"-65.4857,128.7020",1,1.0
"-8.2238,-135.1771",1,5.0
"-8.1666,-66.0968",1,3.0
"81.3430,149.9324",1,3.0
"-22.7118,-163.2013",1,1.0
"72.1468,-158.8194",1,1.0
"71.9672,117.7249",1,3.0
"14.1871,57.0685",1,1.0
"76.9122,161.0012",1,2.0
"32.0004,164.3321",1,3.0
"0.4828,-103.0118",1,3.0
"70.5906,-33.5731",1,2.0
"64.9795,126.7640",1,5.0
"-3.5433,1.0204",1,5.0
"20.3839,32.1391",1,5.0
"59.4202,-64.3582",1,3.0
"85.5810,-116.7683",1,1.0
"-18.8821,116.1649",1,3.0
"-18.1089,-100.7126",1,5.0
"61.5812,131.0126",1,3.0
"-47.1419,36.3406",1,3.0
"-35.5624,12.4410",1,5.0
"60.8510,-113.6399",1,3.0
"83.4015,32.4797",1,4.0
"-79.0586,81.3843",1,1.0
"-84.4861,-11.3813",1,5.0
"-29.9400,-3.5849",1,4.0
"-3.7621,-77.2729",1,2.0
"2.4098,-179.9129",1,3.0
"-39.9168,88.4140",1,5.0
"-53.5686,-9.2794",1,2.0
"6.1986,64.9375",1,1.0
"-47.6751,73.6964",1,5.0
"-34.8793,-169.7867",1,1.0
"81.7439,51.1925",1,5.0
"-64.7571,31.0605",1,5.0
"1.5289,177.3066",1,3.0
"86.7595,-139.3492",1,3.0
"10.0580,-135.5083",1,1.0
"-82.2706,10.6710",1,4.0
"-42.1616,-108.5693",1,3.0
"-21.8195,32.8612",1,4.0
"72.8762,31.8735",1,5.0
"26.8029,-179.4868",1,4.0
"61.7411,41.9660",1,1.0
"-79.1341,-45.9561",1,5.0
"-57.0162,90.6088",1,2.0
"66.9586,22.4152",1,5.0
"4.3446,168.6436",1,2.0
"43.5088,-38.8901",1,5.0
"54.4801,175.9907",1,1.0
"30.6632,46.1224",1,3.0
"25.5237,151.2152",1,4.0
"18.8801,-73.6107",1,4.0
"-11.0946,142.7895",1,2.0
"-82.0658,0.1643",1,1.0
"56.0483,70.2957",1,3.0
"79.3934,26.7719",1,5.0
"8.6285,-119.7537",1,5.0
"41.5068,-113.4355",1,4.0
"35.0899,-12.0634",1,2.0
"-28.3609,-160.7324",1,5.0
"14.2017,96.0960",1,1.0
"-37.8611,-91.9240",1,3.0
"-71.1641,36.5795",1,4.0
"-88.0336,-45.7888",1,5.0
"51.4417,7.9458",1,3.0
"0.8844,-10.5639",1,1.0
"82.7887,-69.3231",1,3.0
"-8.0596,-86.5284",1,1.0
"-18.4533,175.4333",1,3.0
"-57.9331,130.4348",1,3.0
"45.7494,37.9988",1,4.0
"-25.6523,7.3965",1,3.0
"-85.9238,-17.7330",1,2.0
"-33.7590,-93.5309",1,2.0
"72.9390,-31.6452",1,4.0
"-70.7111,-144.5607",1,3.0
"-79.9146,-26.0391",1,1.0
"-3.5558,-93.4178",1,5.0
"55.1779,-152.7268",1,2.0
"-27.2358,-40.2189",1,3.0
"73.1161,14.3787",1,1.0
"79.1827,79.4741",1,1.0
"68.6108,71.7294",1,3.0
"55.5284,64.7682",1,4.0
"-46.0607,-119.2150",1,1.0
"19.6118,47.6068",1,1.0
"-17.9258,-157.7417",1,4.0
"-45.4551,65.3823",1,3.0
"31.8065,-94.7946",1,3.0
"72.7576,107.5494",1,2.0
"-48.4906,-112.4077",1,2.0
"-13.8740,-75.1952",1,2.0
"6.9100,90.8732",1,2.0
"-53.5486,146.4119",1,2.0
"-26.4301,23.7203",1,4.0
"82.8552,60.8587",1,3.0
"85.1384,-138.4051",1,
"-0.6070,-146.0451",1,5.0
"11.0084,-9.8324",1,4.0
"3.8186,129.5396",1,1.0
"88.9474,-63.1042",1,3.0
"-26.6521,-120.9596",1,5.0
"-27.6178,-167.5030",1,3.0
"-58.5072,58.6821",1,5.0
"18.2670,115.1328",1,3.0
"45.6274,100.7082",1,4.0
"49.7172,-23.6481",1,5.0
"-5.0473,-36.6115",1,5.0
"61.6262,105.1613",1,3.0
"83.9616,74.3231",1,5.0
"68.7657,-82.0471",1,3.0
"-68.5776,115.3036",1,4.0
"39.0931,152.7751",1,5.0
"-20.4741,-113.9603",1,
"-65.3788,87.9189",1,3.0
"-45.6175,-50.5699",1,4.0
"64.1360,-111.3605",1,4.0
"-19.9402,-125.8401",1,5.0
"39.1839,-153.9431",1,1.0
"57.3246,97.6523",1,1.0
"89.3500,119.1668",1,2.0
"54.1731,136.4396",1,3.0
"-30.7372,98.3603",1,
"-58.9271,36.3727",1,4.0
"-22.6172,-7.2853",1,2.0
"-48.4691,-56.7818",1,3.0
"54.3865,33.0170",1,4.0
"-54.8813,178.4264",1,3.0
"-34.8768,-127.5511",1,4.0
"-52.9063,-10.8194",1,3.0
"46.1922,158.3266",1,2.0
"48.0373,-57.1373",1,2.0
"37.9965,-60.5462",1,2.0
"42.1112,-82.6080",1,4.0
"45.1685,34.0209",1,4.0
"59.2146,171.9523",1,4.0
"36.4785,54.2978",1,4.0
"-29.6031,35.6211",1,5.0
"33.7749,-146.2779",1,5.0
"-16.6824,-83.4027",1,1.0
"88.0423,-89.4948",1,3.0
"19.6409,80.8869",1,4.0
"36.6422,44.4281",1,3.0
"13.1123,14.2998",1,3.0
"88.5115,164.5930",1,5.0
"2.7196,150.3583",1,3.0
"-67.9826,21.8668",1,3.0
"-27.8723,-56.4943",1,5.0
"59.0893,116.3460",1,5.0
"64.0657,0.5186",1,
"-75.3264,-174.9963",1,3.0
"-9.8482,-53.2222",1,3.0
"7.6412,-178.5723",1,
"54.8988,-38.6124",1,5.0
"61.9223,-70.5226",1,1.0
"-21.2918,-6.7683",1,1.0
"32.4868,94.1552",1,3.0
"88.3924,5.7411",1,5.0
"-15.2024,148.2807",1,1.0
"-65.3275,-19.8247",1,4.0
"36.6462,142.8886",1,3.0
"-8.2173,1.3919",1,1.0
"-26.8443,-175.2927",1,3.0
"-74.6408,127.2267",1,2.0
"20.0566,42.7935",1,2.0
"-16.3905,38.9086",1,4.0
"-48.4558,-27.7138",1,4.0
"65.6478,-25.0533",1,
"45.4883,166.4853",1,1.0
"-69.2094,178.7585",1,1.0
"-0.3769,-0.8083",1,1.0
"6.7992,98.9225",1,3.0
"14.2863,-148.1486",1,2.0
"-73.7624,86.9291",1,3.0
"-45.2338,-89.8341",1,2.0
"63.0655,8.8655",1,3.0
"75.0808,123.8027",1,2.0
"-23.8252,-28.3950",1,5.0
"7.7153,-163.2824",1,2.0
"89.8584,156.3147",1,2.0
"-5.8216,127.2059",1,1.0
